,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.93,14,15.1,6.8,50.9%,6.8%,191,"107,549"
1,Killjoy,1.03,14.9,14.6,3.1,50.2%,5.3%,201,"84,308"
2,Reyna,1.12,17.9,15.9,4,50.1%,12.3%,243,"194,683"
3,Gekko,0.94,14.2,15.1,4.8,50.0%,2.0%,191,"31,845"
4,Viper,1.01,15,14.9,5.3,50.0%,14.9%,204,"235,733"
5,Deadlock,1.01,15.3,15.1,3.9,49.8%,1.2%,204,"19,073"
6,Fade,0.94,14.3,15.2,6.2,49.7%,0.9%,197,"14,497"
7,Jett,1.09,17.7,16.3,3.5,49.6%,15.5%,243,"245,985"
8,Sova,0.97,14.5,14.9,5.2,49.6%,12.5%,198,"198,278"
9,Phoenix,1.08,17,15.7,4.1,49.3%,1.4%,232,"21,878"
10,Astra,1.03,15.4,14.9,5.2,49.1%,0.3%,207,"5,333"
11,Brimstone,0.95,14.4,15.2,7.3,49.1%,0.8%,201,"12,470"
12,Chamber,1.09,16.4,15.1,2.8,48.9%,7.3%,218,"115,244"
13,Skye,0.93,14.3,15.4,7,48.6%,1.9%,197,"30,529"
14,Raze,1.01,16.4,16.3,4.2,48.2%,5.0%,230,"79,033"
15,Cypher,0.99,14.7,14.9,4.3,48.2%,2.1%,197,"32,534"
16,Neon,0.96,16.2,16.8,4.1,47.5%,1.0%,225,"15,395"
17,Omen,0.96,15,15.6,5.4,47.1%,3.2%,204,"50,713"
18,Harbor,0.93,14.3,15.4,6,46.8%,0.7%,194,"11,678"
19,Breach,0.92,14.5,15.7,6.2,46.8%,0.7%,198,"10,320"
20,Yoru,0.99,15.9,16,4,46.8%,1.2%,217,"18,937"
21,Iso,1.02,16.6,16.3,3.9,46.5%,1.0%,229,"15,903"
22,KAY/O,0.92,14.5,15.7,9,44.6%,2.1%,203,"33,357"
