,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.82,11.5,14,3.8,51.1%,3.7%,172,"26,717"
1,Sage,0.74,10.7,14.5,5.7,50.0%,12.7%,159,"92,073"
2,Deadlock,0.82,11.9,14.5,3.9,49.7%,2.1%,172,"15,110"
3,Reyna,0.98,14.5,14.8,4.2,49.7%,10.7%,213,"77,440"
4,Viper,0.81,11.7,14.4,4.5,49.4%,4.3%,173,"30,864"
5,Cypher,0.84,11.9,14.1,4.5,49.4%,3.9%,172,"28,564"
6,Gekko,0.76,11.2,14.8,4.5,49.4%,5.4%,165,"39,497"
7,Jett,0.93,13.8,14.9,3.6,49.3%,5.7%,204,"41,047"
8,Harbor,0.76,11.2,14.7,4.9,49.2%,0.9%,165,"6,746"
9,Skye,0.77,11.3,14.6,6.1,49.2%,4.3%,168,"31,421"
10,Sova,0.78,11.4,14.5,4.5,48.9%,5.1%,169,"36,976"
11,Fade,0.75,11.2,14.8,5.9,48.8%,3.2%,166,"23,136"
12,Omen,0.84,12.5,14.8,4.1,48.8%,7.5%,181,"54,237"
13,Brimstone,0.82,12,14.6,5.3,48.7%,2.9%,178,"21,014"
14,Chamber,0.9,12.8,14.3,3.5,48.7%,2.4%,186,"17,684"
15,Astra,0.88,12.4,14.1,4,48.5%,0.4%,181,"3,064"
16,Neon,0.84,12.8,15.2,3.9,48.4%,4.1%,191,"29,487"
17,Raze,0.86,12.9,15,4.2,48.4%,5.6%,194,"40,436"
18,Phoenix,0.88,13,14.7,4,48.3%,4.3%,192,"30,823"
19,Iso,0.85,12.9,15.2,4,47.8%,2.4%,192,"17,376"
20,KAY/O,0.76,11.3,14.9,7.3,47.6%,2.6%,171,"18,663"
21,Breach,0.81,11.9,14.7,4.9,47.6%,1.2%,177,"9,031"
22,Yoru,0.84,12.5,14.9,3.9,47.0%,4.7%,182,"33,804"
