,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Reyna,1.16,17.7,15.2,4.2,50.7%,12.4%,250,"453,980"
1,Jett,1.11,17.2,15.4,3.7,50.6%,8.7%,243,"319,462"
2,Sage,0.88,12.9,14.7,6.5,50.1%,10.4%,184,"382,420"
3,Viper,0.98,14.2,14.5,5.1,50.1%,7.7%,201,"281,496"
4,Killjoy,0.97,13.8,14.2,3.6,50.0%,4.8%,196,"176,815"
5,Gekko,0.9,13.5,14.9,4.8,49.5%,3.6%,190,"132,887"
6,Deadlock,0.97,14.3,14.8,4,49.4%,1.7%,199,"63,749"
7,Sova,0.94,13.6,14.6,4.9,49.4%,6.4%,194,"233,416"
8,Phoenix,1.07,16.1,15.1,4.2,49.3%,3.0%,230,"111,005"
9,Astra,1.02,14.9,14.5,4.7,49.2%,0.6%,207,"22,232"
10,Chamber,1.08,15.7,14.5,3.2,49.2%,4.3%,217,"158,576"
11,Brimstone,0.94,13.9,14.8,6.5,49.0%,2.8%,201,"101,815"
12,Fade,0.91,13.6,15,6.1,48.9%,2.0%,194,"73,045"
13,Raze,1.02,15.8,15.6,4.3,48.8%,5.3%,230,"193,749"
14,Skye,0.91,13.6,14.9,6.7,48.5%,4.0%,194,"146,191"
15,Neon,1,15.9,15.9,4.1,48.5%,2.5%,227,"92,857"
16,Omen,0.97,14.7,15.2,4.8,48.2%,7.3%,207,"269,268"
17,Cypher,0.96,13.9,14.4,4.6,48.2%,3.3%,194,"119,860"
18,Breach,0.92,14,15.3,5.5,48.0%,1.5%,199,"56,783"
19,Harbor,0.9,13.5,15.1,5.6,47.5%,0.9%,191,"32,824"
20,Iso,1.01,16,15.7,4.1,47.3%,2.0%,229,"73,459"
21,KAY/O,0.88,13.5,15.3,8.2,46.6%,2.6%,197,"96,007"
22,Yoru,0.98,15.1,15.4,4,46.5%,2.2%,212,"81,321"
