,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.75,10.4,13.8,3.6,51.7%,3.4%,159,"8,362"
1,Viper,0.76,10.8,14.2,4.2,50.2%,4.1%,161,"10,170"
2,Reyna,0.93,13.5,14.5,4.1,50.0%,10.5%,200,"26,055"
3,Sage,0.69,9.8,14.3,5.3,49.9%,12.7%,147,"31,588"
4,Fade,0.7,10.3,14.7,5.7,49.9%,3.2%,155,"7,942"
5,Skye,0.73,10.5,14.5,5.8,49.8%,3.9%,157,"9,786"
6,Gekko,0.71,10.4,14.6,4.3,49.7%,5.5%,154,"13,568"
7,Sova,0.76,10.8,14.2,4.3,49.6%,5.0%,162,"12,348"
8,Deadlock,0.77,11,14.3,3.6,49.4%,2.1%,162,"5,203"
9,Cypher,0.79,11.1,14,4.4,49.3%,3.7%,163,"9,207"
10,Jett,0.88,12.7,14.5,3.4,49.1%,6.1%,190,"15,076"
11,Chamber,0.85,12,14.1,3.4,48.8%,2.1%,176,"5,243"
12,Raze,0.82,12,14.6,3.9,48.7%,5.9%,182,"14,681"
13,Omen,0.78,11.5,14.6,3.9,48.3%,7.0%,169,"17,322"
14,Brimstone,0.75,10.7,14.3,4.8,48.2%,2.8%,163,"6,954"
15,KAY/O,0.7,10.2,14.6,6.9,48.2%,2.5%,158,"6,189"
16,Phoenix,0.83,11.9,14.3,3.8,48.1%,4.7%,178,"11,668"
17,Harbor,0.71,10.4,14.6,4.4,47.6%,0.8%,155,"2,106"
18,Iso,0.78,11.8,15,3.8,47.5%,2.6%,177,"6,572"
19,Neon,0.78,11.7,14.9,3.7,46.9%,4.4%,176,"11,019"
20,Yoru,0.79,11.5,14.7,3.7,46.7%,5.4%,169,"13,302"
21,Astra,0.81,11.2,13.9,3.6,45.8%,0.4%,166,"1,056"
22,Breach,0.77,11,14.3,4.6,45.8%,1.2%,165,"2,885"
