,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.94,13.2,14.1,3.8,50.7%,4.7%,191,"135,834"
1,Reyna,1.12,16.9,15.1,4.3,50.5%,11.6%,241,"338,758"
2,Viper,0.95,13.6,14.4,5,50.3%,6.3%,195,"183,006"
3,Jett,1.06,16.2,15.3,3.7,50.2%,6.9%,233,"201,281"
4,Sage,0.85,12.5,14.6,6.4,50.1%,11.4%,180,"330,673"
5,Gekko,0.88,13.1,14.8,4.8,49.8%,4.3%,186,"124,839"
6,Chamber,1.04,15,14.5,3.4,49.3%,3.6%,210,"104,286"
7,Sova,0.9,13.1,14.5,4.8,49.3%,5.7%,190,"165,316"
8,Deadlock,0.93,13.8,14.7,4,49.3%,1.9%,194,"55,975"
9,Phoenix,1.02,15.3,14.9,4.2,49.2%,3.4%,220,"98,693"
10,Neon,0.97,15.3,15.7,4.1,49.0%,3.0%,221,"88,201"
11,Astra,0.99,14.3,14.4,4.6,49.0%,0.6%,202,"16,492"
12,Fade,0.88,13,14.9,6.1,48.9%,2.4%,189,"69,137"
13,Raze,0.98,15,15.4,4.3,48.9%,5.2%,220,"151,659"
14,Brimstone,0.92,13.5,14.8,6.2,48.9%,3.0%,197,"88,474"
15,Skye,0.88,13.1,14.9,6.7,48.8%,4.4%,190,"128,733"
16,Omen,0.95,14.2,15,4.6,48.6%,7.8%,202,"226,716"
17,Cypher,0.94,13.5,14.3,4.7,48.4%,3.7%,190,"108,387"
18,Breach,0.9,13.7,15.2,5.4,48.3%,1.6%,196,"45,255"
19,Iso,0.97,15.2,15.6,4.1,47.6%,2.1%,220,"62,183"
20,Harbor,0.87,13,15,5.4,47.2%,0.9%,186,"27,599"
21,KAY/O,0.86,13.1,15.2,8,46.6%,2.6%,193,"76,681"
22,Yoru,0.94,14.4,15.2,4,46.3%,2.8%,205,"80,382"
