,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Reyna,1.18,17.9,15.2,4.4,50.5%,12.4%,251,"433,189"
1,Gekko,0.92,13.7,14.9,5.1,50.2%,4.7%,191,"164,133"
2,Brimstone,0.96,14.2,14.8,7.9,50.2%,3.8%,205,"132,118"
3,Phoenix,1.11,16.8,15.1,4.5,50.1%,3.1%,238,"108,260"
4,Sage,0.9,13.3,14.7,6.8,50.1%,7.8%,188,"273,199"
5,Raze,1.05,16.4,15.6,4.7,50.0%,7.7%,238,"268,980"
6,Chamber,1.11,16.2,14.6,3.3,49.8%,4.7%,223,"164,271"
7,Jett,1.11,17.2,15.5,3.6,49.7%,7.7%,241,"267,098"
8,Killjoy,0.99,14,14.2,3.6,49.7%,4.6%,197,"161,251"
9,Breach,0.94,14.2,15.2,6.3,49.5%,3.4%,201,"119,224"
10,Deadlock,0.98,14.5,14.8,4.2,49.5%,1.8%,200,"63,890"
11,Fade,0.93,13.8,14.9,6.4,49.5%,2.4%,195,"82,477"
12,Astra,1.03,15,14.5,5.7,49.5%,1.4%,207,"47,743"
13,Omen,0.98,14.7,14.9,6,49.1%,11.1%,204,"388,773"
14,Viper,0.99,14.5,14.6,5.4,49.1%,1.9%,205,"64,876"
15,Cypher,1,14.3,14.3,4.7,49.1%,4.9%,197,"170,111"
16,Skye,0.92,13.8,14.9,7.4,49.0%,5.5%,195,"193,078"
17,Sova,0.96,14.1,14.7,5.3,48.4%,2.3%,203,"81,333"
18,Neon,1,16,16,4.3,48.0%,2.1%,227,"74,797"
19,Harbor,0.91,13.8,15.2,5.9,47.2%,0.9%,194,"31,482"
20,Iso,1.03,16.2,15.8,4.3,47.0%,2.0%,231,"69,232"
21,Yoru,1.01,15.5,15.4,4.3,46.8%,1.8%,218,"63,968"
22,KAY/O,0.89,13.7,15.4,8.7,45.3%,1.9%,199,"66,175"
