,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Reyna,1.16,17.7,15.2,4.5,50.4%,12.2%,249,"442,288"
1,Gekko,0.91,13.5,14.9,5.1,50.2%,4.7%,189,"171,874"
2,Brimstone,0.95,14,14.8,7.7,50.2%,3.9%,203,"141,370"
3,Phoenix,1.09,16.5,15.1,4.5,50.1%,3.2%,235,"115,605"
4,Jett,1.09,16.9,15.5,3.7,50.1%,7.1%,238,"257,159"
5,Raze,1.04,16.1,15.5,4.7,49.9%,7.3%,236,"266,400"
6,Sage,0.89,13,14.7,6.8,49.8%,8.5%,185,"306,730"
7,Deadlock,0.96,14.2,14.7,4.2,49.7%,1.9%,198,"68,329"
8,Astra,1.02,14.7,14.5,5.5,49.7%,1.2%,205,"45,022"
9,Killjoy,0.97,13.8,14.2,3.7,49.7%,4.6%,195,"167,188"
10,Breach,0.93,14.1,15.2,6.2,49.5%,3.2%,200,"116,042"
11,Chamber,1.09,15.9,14.6,3.3,49.4%,4.4%,220,"159,107"
12,Cypher,0.98,14,14.3,4.8,49.2%,5.0%,195,"179,737"
13,Omen,0.97,14.5,14.9,5.8,49.2%,10.9%,202,"394,857"
14,Fade,0.9,13.4,14.9,6.3,49.0%,2.4%,191,"88,168"
15,Skye,0.91,13.5,14.9,7.4,48.9%,5.7%,193,"205,597"
16,Viper,0.97,14.2,14.6,5.3,48.6%,2.0%,203,"72,758"
17,Sova,0.94,13.9,14.8,5.3,48.1%,2.5%,200,"89,493"
18,Neon,0.99,15.7,15.9,4.3,47.9%,2.3%,225,"83,990"
19,Harbor,0.9,13.6,15.1,5.8,46.9%,0.9%,192,"33,586"
20,Yoru,0.99,15.2,15.4,4.3,46.6%,2.0%,214,"70,956"
21,Iso,1,15.8,15.8,4.3,46.6%,2.0%,227,"74,266"
22,KAY/O,0.87,13.4,15.3,8.6,45.5%,2.0%,196,"74,066"
