,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.98,14.6,14.9,9.8,51.8%,1.7%,206,"17,178"
1,Deadlock,1.04,15.6,14.9,4.3,51.5%,1.4%,207,"14,025"
2,Sage,0.96,14.3,15,6.9,50.7%,2.0%,196,"20,024"
3,Sova,1.01,15,14.8,5.9,50.3%,0.9%,208,"8,970"
4,Reyna,1.13,17.7,15.7,4.3,50.1%,10.2%,240,"103,764"
5,Phoenix,1.1,17.3,15.7,4.7,50.1%,1.7%,237,"17,180"
6,Gekko,0.94,14.1,15,5.3,50.0%,6.2%,190,"62,737"
7,Killjoy,1.04,15.1,14.5,3.2,49.9%,6.6%,204,"66,743"
8,Cypher,1.02,15,14.6,4.6,49.8%,4.6%,200,"46,972"
9,Fade,0.97,14.6,15,6.9,49.8%,2.2%,198,"22,328"
10,Skye,0.95,14.4,15.2,7.9,49.7%,5.3%,196,"54,038"
11,Jett,1.08,17.4,16.1,3.3,49.5%,12.7%,237,"128,806"
12,Chamber,1.11,16.8,15.1,2.9,49.5%,7.0%,223,"71,291"
13,Astra,1.04,15.3,14.8,6.9,49.4%,2.2%,205,"22,478"
14,Raze,1.04,16.7,16.1,4.3,49.3%,11.1%,235,"112,617"
15,Viper,1.05,15.6,14.8,5.8,49.1%,0.7%,214,"7,469"
16,Omen,0.98,14.9,15.1,7.5,49.1%,14.3%,202,"145,745"
17,Neon,0.97,16.1,16.7,4.5,48.0%,0.8%,223,"8,454"
18,Yoru,1.02,16.2,15.9,4.4,47.9%,1.3%,222,"12,803"
19,Breach,0.93,14.3,15.4,7.6,47.8%,5.1%,195,"52,202"
20,Harbor,0.94,14.5,15.4,6.8,46.8%,0.4%,195,"4,352"
21,Iso,1.03,16.8,16.3,4.2,45.5%,0.9%,231,"9,393"
22,KAY/O,0.93,14.5,15.6,10,45.0%,0.7%,204,"6,957"
