,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.88,12.3,14,3.9,50.0%,3.9%,181,"65,687"
1,Raze,0.93,14.2,15.1,4.9,49.9%,6.2%,213,"104,423"
2,Reyna,1.04,15.5,14.9,4.6,49.7%,10.9%,225,"182,188"
3,Sage,0.8,11.6,14.5,6.4,49.6%,11.6%,169,"194,260"
4,Breach,0.86,12.8,15,5.7,49.6%,1.9%,187,"31,955"
5,Deadlock,0.87,12.7,14.6,4.2,49.6%,2.1%,182,"34,761"
6,Cypher,0.9,12.7,14.1,4.8,49.6%,5.0%,182,"84,012"
7,Gekko,0.81,12,14.8,5,49.5%,5.5%,174,"92,666"
8,Brimstone,0.87,12.8,14.7,6.7,49.4%,3.7%,190,"61,247"
9,Skye,0.82,12,14.7,7.1,49.4%,5.6%,177,"93,433"
10,Astra,0.92,13.2,14.4,5,49.2%,0.7%,188,"11,263"
11,Omen,0.88,13.1,14.8,5,49.0%,8.9%,188,"149,155"
12,Jett,0.96,14.5,15.1,3.8,48.9%,5.0%,210,"84,311"
13,Chamber,0.95,13.8,14.5,3.7,48.8%,2.9%,198,"48,876"
14,Fade,0.8,11.8,14.9,6.3,48.5%,3.1%,174,"52,533"
15,Viper,0.87,12.6,14.5,5.1,48.3%,2.7%,186,"44,544"
16,Phoenix,0.95,14.1,14.9,4.5,48.3%,4.0%,206,"66,081"
17,Sova,0.84,12.2,14.6,5.1,48.3%,3.4%,181,"57,566"
18,Neon,0.89,13.7,15.5,4.2,47.9%,3.4%,201,"57,101"
19,Iso,0.89,13.8,15.5,4.3,47.2%,2.3%,203,"37,869"
20,Harbor,0.8,12,15,5.5,46.9%,1.0%,175,"17,444"
21,Yoru,0.88,13.2,15.1,4.3,46.3%,3.6%,192,"60,013"
22,KAY/O,0.78,11.8,15.1,8.2,45.9%,2.4%,178,"40,547"
