,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.97,14.5,15,9.1,50.8%,2.7%,205,"53,071"
1,Phoenix,1.12,17.3,15.5,4.6,50.8%,2.3%,239,"45,193"
2,Deadlock,1.02,15.2,14.9,4.2,50.6%,1.6%,204,"30,305"
3,Reyna,1.14,17.8,15.6,4.3,50.5%,11.1%,244,"216,223"
4,Gekko,0.93,14,15,5.2,50.3%,5.5%,190,"106,762"
5,Sage,0.93,13.9,14.9,6.9,50.2%,4.0%,192,"77,972"
6,Astra,1.04,15.3,14.7,6.4,50.0%,2.1%,206,"40,799"
7,Chamber,1.12,16.7,14.9,3,49.9%,6.7%,224,"130,093"
8,Viper,1.02,15,14.7,5.6,49.8%,1.0%,209,"20,305"
9,Skye,0.95,14.3,15.1,7.7,49.7%,5.3%,196,"104,377"
10,Fade,0.96,14.4,15,6.7,49.7%,2.2%,197,"43,740"
11,Raze,1.05,16.7,16,4.4,49.5%,9.6%,237,"186,893"
12,Omen,0.98,14.9,15.1,7,49.4%,13.1%,203,"255,761"
13,Cypher,1.01,14.7,14.6,4.7,49.3%,4.8%,198,"94,276"
14,Jett,1.09,17.4,16,3.4,49.3%,10.8%,239,"210,431"
15,Killjoy,1.02,14.7,14.4,3.4,49.3%,5.4%,201,"105,113"
16,Sova,0.99,14.7,14.9,5.5,48.6%,1.4%,205,"28,138"
17,Breach,0.94,14.3,15.3,7.1,48.6%,4.7%,198,"92,622"
18,Yoru,1.03,16.3,15.8,4.4,47.8%,1.3%,223,"25,478"
19,Neon,0.97,16,16.5,4.3,47.6%,1.1%,224,"22,392"
20,Harbor,0.93,14.2,15.3,6.4,46.3%,0.7%,195,"12,778"
21,Iso,1.02,16.5,16.1,4.2,45.8%,1.4%,230,"26,866"
22,KAY/O,0.92,14.3,15.6,9.5,44.5%,1.3%,203,"24,557"
