,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.98,14.6,14.9,9.6,51.7%,2.0%,206,"26,106"
1,Phoenix,1.11,17.2,15.6,4.7,50.8%,1.8%,237,"23,590"
2,Sage,0.95,14.2,15,6.8,50.7%,2.4%,195,"31,487"
3,Gekko,0.94,14.1,15,5.3,50.4%,6.1%,190,"79,738"
4,Deadlock,1.03,15.4,14.9,4.3,50.4%,1.4%,205,"18,530"
5,Reyna,1.13,17.7,15.7,4.3,50.1%,10.3%,241,"134,659"
6,Astra,1.04,15.3,14.8,6.8,50.0%,2.2%,205,"29,286"
7,Fade,0.97,14.5,15,6.9,49.7%,2.2%,198,"28,738"
8,Viper,1.04,15.3,14.7,5.7,49.7%,0.7%,212,"9,804"
9,Jett,1.08,17.4,16.1,3.3,49.6%,12.1%,237,"158,300"
10,Chamber,1.11,16.8,15,2.9,49.5%,7.0%,223,"91,692"
11,Killjoy,1.03,15,14.5,3.3,49.5%,6.3%,203,"82,079"
12,Raze,1.04,16.7,16.1,4.3,49.5%,10.6%,235,"138,596"
13,Skye,0.95,14.4,15.1,7.9,49.4%,5.3%,196,"69,396"
14,Omen,0.98,14.9,15.1,7.4,49.2%,14.2%,202,"185,475"
15,Cypher,1.01,14.9,14.7,4.7,49.1%,4.8%,199,"62,886"
16,Breach,0.94,14.4,15.4,7.5,48.7%,5.1%,196,"67,207"
17,Sova,1,14.8,14.8,5.7,48.6%,1.0%,207,"13,317"
18,Yoru,1.02,16.3,16,4.4,47.5%,1.3%,223,"16,516"
19,Neon,0.96,16,16.6,4.4,47.4%,0.9%,221,"11,612"
20,Iso,1.02,16.6,16.3,4.2,46.0%,1.0%,229,"13,473"
21,Harbor,0.94,14.3,15.2,6.7,45.9%,0.5%,195,"6,342"
22,KAY/O,0.93,14.4,15.6,9.9,45.2%,0.8%,204,"11,054"
