,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Reyna,1.15,17.7,15.4,4.4,50.3%,11.9%,247,"419,778"
1,Brimstone,0.95,14.1,14.9,8.2,50.3%,3.5%,203,"123,695"
2,Phoenix,1.1,16.8,15.3,4.5,50.1%,2.9%,236,"100,408"
3,Gekko,0.91,13.7,15,5.1,50.1%,4.9%,189,"170,864"
4,Deadlock,0.98,14.6,14.8,4.2,49.8%,1.8%,200,"62,137"
5,Chamber,1.1,16.2,14.7,3.2,49.7%,5.4%,222,"189,199"
6,Raze,1.04,16.4,15.8,4.6,49.7%,8.2%,237,"289,778"
7,Sage,0.9,13.3,14.8,6.9,49.6%,6.7%,187,"236,483"
8,Jett,1.09,17.2,15.7,3.5,49.6%,8.5%,239,"300,477"
9,Astra,1.02,14.9,14.6,5.9,49.6%,1.6%,205,"56,147"
10,Killjoy,0.99,14.1,14.3,3.5,49.4%,4.8%,197,"169,137"
11,Fade,0.92,13.8,14.9,6.4,49.3%,2.4%,193,"83,225"
12,Cypher,0.99,14.3,14.4,4.7,49.3%,4.8%,196,"169,860"
13,Skye,0.92,13.9,15,7.5,49.2%,5.5%,194,"194,625"
14,Omen,0.97,14.6,15,6.3,49.0%,11.7%,202,"411,084"
15,Breach,0.93,14.2,15.3,6.5,48.9%,3.9%,199,"137,194"
16,Viper,0.99,14.5,14.7,5.5,48.7%,1.6%,204,"56,874"
17,Sova,0.96,14.2,14.8,5.3,48.5%,2.1%,202,"72,654"
18,Neon,0.98,15.8,16.2,4.2,47.7%,1.8%,224,"61,841"
19,Harbor,0.91,13.8,15.2,6,46.7%,0.8%,193,"29,177"
20,Yoru,1,15.6,15.6,4.3,46.5%,1.6%,217,"56,321"
21,Iso,1.01,16.1,16,4.2,46.3%,1.8%,228,"64,061"
22,KAY/O,0.89,13.7,15.5,8.9,44.8%,1.8%,198,"61,707"
