,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.98,14.5,14.7,8,51.0%,9.3%,205,"265,818"
1,Phoenix,1.13,17.3,15.3,4.3,51.0%,3.0%,241,"86,725"
2,Deadlock,1.01,15,14.8,4.2,50.9%,1.5%,204,"42,058"
3,Gekko,0.93,14,15,4.9,50.7%,3.0%,192,"84,622"
4,Sage,0.92,13.6,14.8,6.6,50.6%,6.2%,189,"177,930"
5,Reyna,1.17,18,15.4,4.2,50.2%,11.8%,249,"337,774"
6,Cypher,1,14.3,14.3,4.6,50.0%,8.9%,195,"255,760"
7,Sova,1,14.6,14.6,5.3,49.9%,3.0%,206,"84,821"
8,Raze,1.06,16.8,15.9,4.5,49.6%,10.1%,240,"289,926"
9,Fade,0.95,14.2,14.9,6.1,49.5%,2.1%,197,"59,707"
10,Skye,0.95,14.2,15,6.9,49.5%,7.2%,197,"207,652"
11,Jett,1.1,17.3,15.8,3.4,49.1%,8.5%,240,"242,626"
12,Chamber,1.1,16.2,14.7,3,49.0%,4.3%,219,"124,450"
13,Killjoy,0.97,13.8,14.3,3.5,48.9%,2.9%,193,"84,140"
14,Viper,1.01,14.8,14.7,5.3,48.7%,1.8%,206,"51,556"
15,Astra,1.03,15.1,14.7,5.9,48.2%,1.2%,206,"32,987"
16,Omen,0.98,14.9,15.1,5.9,48.1%,7.1%,205,"204,031"
17,Breach,0.93,14.4,15.4,6,47.8%,1.9%,200,"55,807"
18,Yoru,1.04,16.3,15.7,4.1,47.7%,2.0%,225,"56,720"
19,Neon,0.98,16,16.2,4,46.5%,1.1%,224,"30,297"
20,Harbor,0.92,13.9,15.1,5.7,45.7%,0.3%,193,"7,860"
21,KAY/O,0.91,14.1,15.5,8.5,45.6%,1.6%,202,"44,738"
22,Iso,1.02,16.3,16,4,45.4%,1.4%,229,"39,701"
