,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.99,14.4,14.6,7.7,51.1%,8.2%,206,"301,532"
1,Deadlock,1,14.7,14.7,4.2,50.7%,1.5%,203,"56,059"
2,Reyna,1.19,18.2,15.2,4.2,50.7%,12.5%,254,"457,737"
3,Phoenix,1.13,17.1,15.1,4.3,50.6%,3.3%,242,"121,126"
4,Cypher,1,14.2,14.2,4.7,50.2%,8.5%,196,"311,884"
5,Gekko,0.93,13.8,14.9,4.9,50.2%,3.3%,193,"120,716"
6,Sage,0.91,13.4,14.7,6.6,50.2%,7.4%,189,"271,405"
7,Raze,1.07,16.7,15.6,4.5,50.1%,9.0%,242,"329,924"
8,Sova,0.99,14.5,14.6,5.2,49.7%,2.9%,206,"106,808"
9,Jett,1.12,17.3,15.5,3.5,49.6%,7.4%,242,"270,251"
10,Fade,0.94,14,14.9,6.1,49.5%,2.1%,197,"78,590"
11,Skye,0.94,14,14.9,6.8,49.5%,6.6%,197,"243,797"
12,Killjoy,0.97,13.9,14.2,3.7,49.4%,3.3%,196,"119,598"
13,Viper,1,14.5,14.6,5.1,49.4%,2.1%,205,"77,518"
14,Astra,1.04,15,14.5,5.7,49.2%,1.0%,208,"37,794"
15,Chamber,1.1,16.1,14.6,3.1,48.5%,3.8%,220,"139,377"
16,Omen,0.99,14.9,15,5.7,48.2%,7.7%,207,"281,981"
17,Breach,0.94,14.4,15.3,5.7,48.1%,2.0%,203,"71,809"
18,Yoru,1.04,16,15.4,4,47.4%,2.2%,224,"79,350"
19,Neon,1,16,16,4,47.0%,1.5%,227,"54,986"
20,Iso,1.03,16.3,15.8,4.1,47.0%,1.7%,232,"62,237"
21,KAY/O,0.9,13.9,15.4,8.2,45.6%,1.7%,201,"62,805"
22,Harbor,0.91,13.8,15.1,5.5,44.7%,0.4%,194,"14,688"
