,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.98,14.4,14.7,7.9,50.9%,9.0%,204,"289,719"
1,Phoenix,1.12,17.1,15.2,4.3,50.8%,3.1%,240,"99,849"
2,Sage,0.91,13.4,14.8,6.6,50.4%,6.6%,188,"212,480"
3,Gekko,0.93,13.9,15,4.9,50.3%,3.1%,192,"99,502"
4,Reyna,1.17,17.9,15.4,4.2,50.3%,11.8%,248,"381,333"
5,Deadlock,1,14.8,14.8,4.2,50.1%,1.5%,202,"48,196"
6,Cypher,1,14.2,14.3,4.7,50.0%,8.8%,194,"285,636"
7,Raze,1.05,16.6,15.8,4.5,49.5%,9.8%,239,"316,357"
8,Fade,0.94,14.1,15,6.1,49.4%,2.1%,196,"68,615"
9,Skye,0.94,14.1,14.9,6.9,49.4%,7.1%,196,"229,336"
10,Sova,0.99,14.5,14.6,5.3,49.3%,3.0%,204,"95,617"
11,Viper,1,14.6,14.7,5.2,49.1%,1.9%,205,"62,506"
12,Killjoy,0.96,13.8,14.4,3.6,49.0%,3.1%,193,"99,275"
13,Astra,1.03,15.1,14.6,5.8,48.9%,1.1%,206,"36,426"
14,Jett,1.09,17.2,15.7,3.4,48.9%,8.0%,238,"260,483"
15,Chamber,1.09,16.1,14.7,3,48.7%,4.2%,218,"135,195"
16,Omen,0.97,14.7,15.1,5.8,47.7%,7.4%,204,"238,058"
17,Breach,0.93,14.3,15.4,5.8,47.7%,2.0%,200,"63,979"
18,Yoru,1.03,16.1,15.6,4,47.3%,2.0%,223,"65,045"
19,Neon,0.98,15.9,16.2,4,47.2%,1.2%,224,"38,676"
20,Iso,1.02,16.2,15.9,4,46.0%,1.5%,228,"47,699"
21,KAY/O,0.9,14,15.5,8.4,45.0%,1.6%,201,"52,607"
22,Harbor,0.89,13.6,15.3,5.6,44.1%,0.3%,191,"10,295"
