,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.98,14.5,14.8,8.2,51.0%,10.1%,204,"220,817"
1,Deadlock,1.02,15.1,14.8,4.3,50.8%,1.4%,204,"30,370"
2,Phoenix,1.12,17.3,15.4,4.3,50.7%,2.9%,240,"62,097"
3,Sage,0.92,13.7,14.9,6.7,50.5%,5.4%,189,"118,558"
4,Gekko,0.94,14,15,5,50.3%,2.7%,192,"59,770"
5,Reyna,1.15,17.9,15.5,4.1,50.0%,11.0%,245,"239,907"
6,Sova,1,14.7,14.7,5.4,49.8%,3.0%,205,"65,892"
7,Cypher,1,14.4,14.4,4.6,49.7%,9.4%,194,"204,321"
8,Skye,0.95,14.3,15,7,49.3%,7.9%,196,"172,940"
9,Raze,1.05,16.7,16,4.4,49.2%,10.7%,238,"233,476"
10,Fade,0.96,14.4,15,6.2,49.2%,2.1%,198,"44,659"
11,Viper,1.01,14.9,14.8,5.3,49.1%,1.7%,207,"36,004"
12,Jett,1.09,17.3,15.9,3.3,48.9%,9.0%,237,"196,886"
13,Killjoy,0.96,13.9,14.4,3.4,48.4%,2.7%,192,"58,278"
14,Astra,1.02,15.1,14.8,6.2,48.4%,1.2%,205,"26,410"
15,Chamber,1.09,16.2,14.8,2.9,48.4%,4.6%,218,"100,222"
16,Yoru,1.04,16.4,15.7,4.1,47.9%,1.9%,226,"41,201"
17,Omen,0.97,14.8,15.2,6.2,47.4%,6.6%,202,"144,642"
18,Breach,0.93,14.4,15.5,6.2,47.2%,1.8%,199,"39,507"
19,Neon,0.98,16,16.4,4.1,46.5%,0.8%,223,"17,565"
20,Iso,1.02,16.3,16.1,4,45.7%,1.2%,228,"25,868"
21,Harbor,0.91,14,15.3,5.8,45.1%,0.2%,192,"4,931"
22,KAY/O,0.91,14.2,15.6,8.7,45.0%,1.4%,202,"31,268"
