,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.94,13.7,14.5,7,50.9%,6.6%,199,"190,426"
1,Killjoy,0.94,13.2,14.1,3.9,50.5%,3.7%,191,"107,259"
2,Reyna,1.12,16.9,15,4.4,50.4%,11.5%,241,"333,295"
3,Deadlock,0.94,13.7,14.7,4.2,50.2%,1.8%,194,"52,910"
4,Cypher,0.96,13.5,14.1,4.8,50.2%,7.9%,189,"228,208"
5,Sage,0.86,12.6,14.6,6.4,49.9%,9.9%,181,"285,651"
6,Raze,1,15.4,15.3,4.6,49.8%,7.0%,227,"203,117"
7,Gekko,0.87,12.9,14.9,4.8,49.8%,4.3%,185,"125,724"
8,Phoenix,1.04,15.5,14.9,4.3,49.8%,3.6%,224,"105,625"
9,Skye,0.88,13,14.8,6.7,49.2%,6.2%,188,"180,110"
10,Jett,1.04,15.9,15.3,3.6,49.1%,5.4%,226,"155,771"
11,Viper,0.93,13.5,14.5,4.9,48.8%,2.6%,195,"74,368"
12,Astra,0.98,14.1,14.3,5.2,48.8%,0.8%,199,"22,963"
13,Fade,0.87,12.9,14.9,6,48.8%,2.6%,186,"75,636"
14,Omen,0.95,14.1,14.9,5.2,48.6%,8.2%,200,"237,593"
15,Chamber,1.03,14.8,14.4,3.4,48.5%,3.0%,207,"86,002"
16,Sova,0.91,13.3,14.6,5,48.4%,3.1%,193,"89,560"
17,Breach,0.9,13.6,15.2,5.3,48.2%,1.8%,196,"52,852"
18,Neon,0.96,15,15.7,4.1,47.4%,2.4%,216,"70,512"
19,Yoru,0.95,14.5,15.2,4.1,46.7%,2.8%,207,"82,000"
20,Harbor,0.86,12.8,15,5.3,46.5%,0.7%,184,"19,430"
21,Iso,0.96,15,15.6,4.2,46.5%,2.0%,218,"57,509"
22,KAY/O,0.85,12.9,15.2,7.7,45.9%,2.0%,190,"58,971"
