,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Deadlock,1.05,15.5,14.8,4.3,51.5%,1.2%,207,"12,787"
1,Sage,0.95,14.2,14.9,6.7,51.1%,3.3%,194,"33,647"
2,Brimstone,0.98,14.7,14.9,9,50.7%,13.0%,205,"133,202"
3,Gekko,0.95,14.3,15,5.1,50.6%,2.2%,192,"22,581"
4,Phoenix,1.1,17.3,15.7,4.3,50.0%,2.1%,237,"21,446"
5,Cypher,1.01,14.6,14.5,4.5,50.0%,11.4%,195,"116,720"
6,Sova,1.01,14.9,14.7,5.7,49.8%,3.1%,206,"31,417"
7,Fade,0.98,14.7,15.1,6.6,49.8%,1.8%,200,"18,752"
8,Skye,0.96,14.5,15.1,7.1,49.7%,10.1%,196,"103,744"
9,Reyna,1.14,17.8,15.7,4.1,49.7%,10.1%,241,"103,961"
10,Raze,1.04,16.9,16.2,4.4,49.1%,12.6%,238,"129,794"
11,Jett,1.08,17.4,16.1,3.2,49.0%,10.9%,236,"111,922"
12,Viper,1.05,15.6,14.9,5.4,48.7%,1.3%,215,"12,945"
13,Chamber,1.09,16.4,15,2.8,48.0%,4.7%,217,"48,103"
14,Yoru,1.04,16.7,16,4.2,47.9%,2.0%,227,"20,834"
15,Breach,0.93,14.4,15.4,7,47.5%,1.2%,196,"11,846"
16,Killjoy,0.98,14.3,14.6,3.3,47.4%,1.5%,194,"15,291"
17,Astra,1.03,15.4,14.9,6.8,47.2%,1.1%,206,"11,306"
18,Neon,0.98,16,16.4,4.2,46.9%,0.5%,222,"4,678"
19,Omen,0.98,14.9,15.3,6.7,46.8%,4.4%,203,"44,687"
20,Harbor,0.94,14.4,15.3,6.1,46.8%,0.1%,196,"1,428"
21,Iso,1.04,16.8,16.1,3.9,45.6%,0.7%,230,"7,187"
22,KAY/O,0.92,14.4,15.6,9.4,44.7%,0.8%,203,"8,726"
