,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.97,14.1,14.6,7.4,50.9%,7.5%,203,"275,955"
1,Reyna,1.17,17.7,15.1,4.3,50.4%,12.1%,249,"442,779"
2,Phoenix,1.1,16.5,15,4.3,50.2%,3.4%,235,"124,509"
3,Deadlock,0.97,14.2,14.7,4.2,50.0%,1.7%,198,"61,667"
4,Gekko,0.9,13.4,14.9,4.9,50.0%,3.7%,189,"134,989"
5,Raze,1.04,16.2,15.5,4.6,49.9%,7.9%,235,"290,558"
6,Cypher,0.98,13.9,14.1,4.8,49.8%,8.3%,192,"304,589"
7,Killjoy,0.96,13.6,14.2,3.8,49.8%,3.5%,194,"129,631"
8,Sage,0.88,13,14.7,6.5,49.8%,8.5%,185,"311,527"
9,Jett,1.09,16.8,15.4,3.6,49.3%,6.4%,236,"233,920"
10,Astra,1.01,14.6,14.4,5.4,49.2%,0.9%,204,"33,779"
11,Sova,0.96,13.9,14.6,5.1,49.1%,2.9%,200,"107,279"
12,Skye,0.91,13.5,14.8,6.8,49.1%,6.5%,192,"237,503"
13,Fade,0.91,13.5,14.9,6,48.8%,2.3%,192,"85,918"
14,Viper,0.97,14.1,14.6,5.1,48.8%,2.3%,201,"85,291"
15,Omen,0.97,14.5,15,5.5,48.3%,8.0%,204,"291,666"
16,Chamber,1.07,15.5,14.5,3.2,48.2%,3.4%,215,"123,493"
17,Breach,0.92,14.1,15.3,5.5,47.7%,2.0%,200,"71,304"
18,Neon,0.99,15.7,15.9,4.1,47.2%,1.9%,224,"68,688"
19,Yoru,1,15.3,15.3,4.1,47.2%,2.3%,217,"85,897"
20,Iso,1,15.8,15.8,4.1,46.3%,1.8%,226,"67,446"
21,KAY/O,0.87,13.4,15.3,8,45.6%,1.9%,195,"69,046"
22,Harbor,0.89,13.5,15.1,5.4,45.6%,0.5%,191,"18,979"
