,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.88,12.3,14,3.9,50.9%,3.5%,181,"59,385"
1,Brimstone,0.89,12.8,14.5,6.4,50.3%,5.1%,189,"86,425"
2,Cypher,0.9,12.6,14,4.8,50.0%,6.8%,180,"115,039"
3,Reyna,1.04,15.5,15,4.4,49.6%,10.8%,224,"181,928"
4,Sage,0.8,11.6,14.6,6.1,49.5%,11.5%,169,"194,283"
5,Deadlock,0.87,12.7,14.6,4.2,49.5%,2.0%,182,"33,300"
6,Raze,0.93,14.1,15.2,4.5,49.4%,6.4%,211,"108,071"
7,Skye,0.82,12,14.7,6.5,49.4%,5.8%,176,"97,469"
8,Gekko,0.8,11.9,14.9,4.6,49.1%,5.2%,173,"87,373"
9,Omen,0.89,13.2,14.8,4.8,48.7%,7.9%,189,"132,819"
10,Viper,0.86,12.5,14.6,4.7,48.7%,2.7%,183,"46,117"
11,Fade,0.8,11.9,14.9,5.8,48.4%,3.1%,175,"51,505"
12,Astra,0.92,13.1,14.2,4.8,48.4%,0.6%,188,"9,919"
13,Jett,0.95,14.4,15.1,3.7,48.4%,4.8%,209,"80,199"
14,Phoenix,0.95,14.1,14.9,4.2,48.3%,4.1%,207,"68,250"
15,Breach,0.85,12.9,15.1,5.1,48.1%,1.6%,187,"26,089"
16,Chamber,0.94,13.6,14.4,3.5,48.0%,2.5%,194,"41,635"
17,Sova,0.84,12.2,14.6,4.8,47.8%,3.5%,181,"58,293"
18,Neon,0.88,13.7,15.5,4,47.4%,3.1%,200,"52,812"
19,Harbor,0.79,11.9,15,5,47.1%,0.8%,173,"13,407"
20,Yoru,0.88,13.3,15.1,4,46.7%,3.8%,192,"64,283"
21,KAY/O,0.78,11.8,15.2,7.3,46.3%,2.2%,177,"37,676"
22,Iso,0.88,13.7,15.5,4.1,45.8%,2.2%,202,"36,349"
