,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.97,14.2,14.7,7.8,50.8%,8.6%,202,"306,689"
1,Deadlock,0.99,14.6,14.8,4.2,50.6%,1.5%,200,"53,975"
2,Phoenix,1.11,16.9,15.2,4.2,50.2%,3.2%,238,"112,065"
3,Reyna,1.16,17.8,15.4,4.2,50.0%,11.8%,247,"417,109"
4,Sage,0.9,13.2,14.8,6.6,49.9%,7.1%,186,"251,033"
5,Gekko,0.91,13.7,15,4.9,49.8%,3.2%,190,"114,579"
6,Cypher,0.98,14,14.3,4.7,49.7%,8.8%,192,"311,316"
7,Raze,1.04,16.5,15.8,4.5,49.5%,9.3%,237,"328,907"
8,Fade,0.93,13.9,15,6.1,49.4%,2.2%,194,"77,074"
9,Sova,0.98,14.3,14.6,5.2,49.2%,3.0%,203,"104,773"
10,Viper,0.98,14.4,14.7,5.2,49.1%,2.1%,202,"73,072"
11,Skye,0.93,13.9,14.9,6.8,49.1%,7.0%,195,"247,651"
12,Jett,1.09,17,15.7,3.4,49.0%,7.6%,237,"269,177"
13,Killjoy,0.95,13.7,14.3,3.6,48.9%,3.2%,192,"113,791"
14,Astra,1.01,14.8,14.6,5.8,48.6%,1.1%,204,"38,330"
15,Chamber,1.08,15.9,14.7,3.1,48.5%,4.0%,216,"142,809"
16,Omen,0.97,14.6,15.1,5.8,48.0%,7.5%,203,"267,759"
17,Breach,0.92,14.2,15.4,5.7,47.5%,2.0%,199,"70,804"
18,Yoru,1.02,15.8,15.5,4,46.9%,2.1%,221,"72,932"
19,Neon,0.97,15.7,16.1,4,46.6%,1.3%,222,"46,433"
20,Iso,1.01,16,15.9,4,45.9%,1.6%,227,"56,127"
21,KAY/O,0.89,13.8,15.4,8.3,45.3%,1.7%,198,"59,617"
22,Harbor,0.9,13.6,15.1,5.5,44.7%,0.4%,190,"12,678"
