,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.9%,84.5%,4.7%,135
1,Outlaw,0.8,13.2%,82.9%,3.9%,126.5
2,Vandal,0.8,27.7%,67.1%,5.2%,124.9
3,Phantom,0.8,23.7%,70.0%,6.3%,115.4
4,Guardian,0.7,31.6%,64.3%,4.1%,114.9
5,Sheriff,0.5,32.4%,64.2%,3.4%,99.8
6,Odin,0.8,12.7%,70.4%,16.8%,98.7
7,Marshal,0.6,27.5%,69.3%,3.2%,97.8
8,Bulldog,0.7,24.3%,69.9%,5.7%,90.4
9,Judge,0.6,12.7%,75.4%,11.8%,84.9
10,Shorty,0.7,15.8%,75.4%,8.8%,79.4
11,Spectre,0.7,18.6%,73.6%,7.8%,78.4
12,Stinger,0.5,18.7%,74.1%,7.2%,77.7
13,Ares,0.6,15.8%,69.8%,14.3%,77.4
14,Ghost,0.8,30.0%,66.1%,3.9%,76.3
15,Bucky,0.5,15.2%,77.0%,7.8%,75.7
16,Classic,0.4,25.7%,69.8%,4.6%,69.5
17,Frenzy,0.6,21.2%,71.8%,7.0%,61
