,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.7,13.5%,82.4%,4.1%,133.1
1,Operator,0.9,9.9%,86.2%,3.9%,131.2
2,Vandal,0.8,20.1%,73.4%,6.5%,123.3
3,Guardian,0.7,22.6%,72.6%,4.8%,116.8
4,Phantom,0.8,17.0%,75.1%,8.0%,114.6
5,Odin,0.9,9.8%,71.5%,18.7%,104.1
6,Marshal,0.5,24.3%,72.1%,3.7%,100.7
7,Bulldog,0.7,16.1%,76.0%,7.9%,93.6
8,Sheriff,0.5,25.5%,70.4%,4.2%,92.7
9,Ares,0.6,11.6%,72.5%,15.9%,86.5
10,Spectre,0.7,13.3%,76.3%,10.4%,84.2
11,Judge,0.6,12.5%,74.8%,12.8%,83.4
12,Stinger,0.5,15.9%,75.2%,8.9%,78.6
13,Ghost,0.8,21.4%,73.0%,5.6%,77.9
14,Bucky,0.5,14.7%,76.4%,8.9%,73.1
15,Classic,0.4,17.9%,75.4%,6.6%,65.7
16,Shorty,0.5,14.9%,74.8%,10.3%,65
17,Frenzy,0.6,16.5%,74.4%,9.0%,62.1
