,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.5%,85.3%,4.2%,133.2
1,Outlaw,0.7,14.2%,81.9%,3.9%,127.6
2,Vandal,0.8,24.8%,69.8%,5.4%,124.2
3,Phantom,0.8,21.3%,72.1%,6.6%,115.2
4,Guardian,0.7,28.6%,67.3%,4.1%,114.2
5,Odin,0.8,11.8%,71.0%,17.2%,100.2
6,Marshal,0.5,26.4%,70.2%,3.4%,97.9
7,Sheriff,0.5,29.9%,66.6%,3.5%,96.7
8,Bulldog,0.7,21.1%,72.6%,6.3%,90.7
9,Judge,0.6,12.9%,75.3%,11.8%,83.5
10,Spectre,0.7,16.8%,74.7%,8.4%,80.2
11,Ares,0.6,14.6%,70.9%,14.5%,79.3
12,Stinger,0.5,17.9%,74.5%,7.6%,78
13,Ghost,0.8,27.0%,68.8%,4.3%,76.5
14,Bucky,0.5,15.3%,76.8%,7.9%,74.3
15,Shorty,0.6,15.6%,75.4%,8.9%,72.6
16,Classic,0.4,23.0%,72.0%,5.1%,67.9
17,Frenzy,0.5,19.8%,72.9%,7.4%,61.1
