,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.7,13.3%,82.4%,4.3%,134.1
1,Operator,0.9,9.7%,86.4%,4.0%,129.8
2,Vandal,0.8,18.3%,74.4%,7.3%,121.8
3,Guardian,0.7,20.0%,74.4%,5.6%,116.6
4,Phantom,0.8,15.4%,75.6%,9.0%,113.1
5,Odin,0.9,9.1%,70.9%,19.9%,104.1
6,Marshal,0.5,23.2%,72.9%,3.9%,100.3
7,Bulldog,0.7,14.5%,76.7%,8.8%,93.6
8,Sheriff,0.5,23.7%,71.7%,4.6%,90.8
9,Ares,0.6,10.9%,72.4%,16.8%,88.4
10,Spectre,0.6,12.2%,76.4%,11.3%,84.8
11,Judge,0.6,12.1%,74.4%,13.5%,82.3
12,Stinger,0.5,15.2%,75.2%,9.6%,77.7
13,Ghost,0.7,19.3%,74.2%,6.5%,77.6
14,Bucky,0.5,14.3%,76.2%,9.5%,72.1
15,Classic,0.4,16.2%,76.4%,7.5%,64.2
16,Shorty,0.5,14.4%,74.5%,11.1%,61.7
17,Frenzy,0.6,15.3%,74.8%,9.9%,61.6
