,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.2%,82.3%,5.5%,133
1,Operator,0.8,9.4%,85.9%,4.7%,125.1
2,Vandal,0.8,14.9%,75.2%,9.9%,117.9
3,Guardian,0.6,14.9%,76.9%,8.2%,115.5
4,Phantom,0.8,12.6%,75.4%,12.0%,109.8
5,Odin,0.9,8.1%,68.8%,23.1%,103.4
6,Marshal,0.4,20.7%,74.3%,5.0%,97.8
7,Bulldog,0.6,12.0%,76.8%,11.2%,93.6
8,Ares,0.6,9.8%,71.1%,19.1%,90.6
9,Sheriff,0.5,19.8%,73.9%,6.3%,87.2
10,Spectre,0.6,10.6%,75.8%,13.6%,85
11,Judge,0.6,11.1%,73.4%,15.5%,80.1
12,Ghost,0.7,15.6%,75.7%,8.7%,76.5
13,Stinger,0.5,14.1%,74.3%,11.7%,74.1
14,Bucky,0.5,13.0%,75.5%,11.5%,69.9
15,Classic,0.4,13.1%,77.2%,9.7%,61.2
16,Frenzy,0.5,13.3%,74.7%,11.9%,60.9
17,Shorty,0.4,13.1%,73.5%,13.4%,55.4
