,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.4%,85.5%,4.1%,133.2
1,Outlaw,0.7,14.4%,81.7%,3.9%,128.4
2,Vandal,0.8,24.2%,70.3%,5.5%,124.3
3,Phantom,0.8,20.7%,72.6%,6.7%,115.3
4,Guardian,0.7,27.9%,68.0%,4.2%,114.8
5,Odin,0.8,11.5%,71.2%,17.3%,100.9
6,Marshal,0.5,26.2%,70.5%,3.3%,98.5
7,Sheriff,0.5,29.2%,67.2%,3.6%,96.2
8,Bulldog,0.7,20.4%,73.1%,6.5%,91.4
9,Judge,0.6,12.8%,75.2%,12.0%,83.6
10,Spectre,0.7,16.3%,75.0%,8.7%,80.9
11,Ares,0.6,14.1%,71.0%,14.9%,79.7
12,Stinger,0.5,17.6%,74.7%,7.7%,78.4
13,Ghost,0.8,26.2%,69.5%,4.4%,76.8
14,Bucky,0.5,15.2%,76.8%,8.0%,73.9
15,Shorty,0.6,15.6%,75.4%,9.0%,71.7
16,Classic,0.4,22.3%,72.5%,5.2%,67.8
17,Frenzy,0.5,19.4%,73.1%,7.5%,61.4
