,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.8%,82.6%,4.6%,134.4
1,Operator,0.9,9.5%,86.4%,4.1%,128.7
2,Vandal,0.8,17.1%,74.9%,7.9%,121
3,Guardian,0.7,18.2%,75.6%,6.2%,116.8
4,Phantom,0.8,14.4%,75.8%,9.8%,112.5
5,Odin,0.9,8.7%,70.4%,20.8%,104.6
6,Marshal,0.5,22.4%,73.5%,4.1%,100.3
7,Bulldog,0.7,13.6%,76.9%,9.4%,94.2
8,Sheriff,0.5,22.4%,72.5%,5.0%,90
9,Ares,0.7,10.4%,72.1%,17.4%,89.7
10,Spectre,0.6,11.6%,76.4%,12.0%,85.4
11,Judge,0.6,11.8%,74.2%,14.0%,82.2
12,Ghost,0.7,18.0%,74.9%,7.1%,77.7
13,Stinger,0.5,14.8%,75.0%,10.2%,77.1
14,Bucky,0.5,14.0%,76.0%,10.0%,71.8
15,Classic,0.4,15.1%,76.8%,8.0%,63.5
16,Frenzy,0.6,14.6%,74.9%,10.5%,61.8
17,Shorty,0.5,14.2%,74.2%,11.7%,60.1
