,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.7,13.3%,82.4%,4.2%,133.6
1,Operator,0.9,9.8%,86.3%,3.9%,130.4
2,Vandal,0.8,19.2%,74.0%,6.9%,122.6
3,Guardian,0.7,21.2%,73.6%,5.1%,116.6
4,Phantom,0.8,16.2%,75.4%,8.4%,114
5,Odin,0.9,9.4%,71.3%,19.2%,104.2
6,Marshal,0.5,23.7%,72.6%,3.8%,100.6
7,Bulldog,0.7,15.3%,76.4%,8.3%,93.7
8,Sheriff,0.5,24.6%,71.1%,4.4%,91.8
9,Ares,0.6,11.2%,72.5%,16.3%,87.6
10,Spectre,0.7,12.7%,76.4%,10.8%,84.6
11,Judge,0.6,12.4%,74.6%,13.1%,83.2
12,Stinger,0.5,15.6%,75.2%,9.3%,78.4
13,Ghost,0.8,20.4%,73.6%,6.1%,77.8
14,Bucky,0.5,14.5%,76.3%,9.2%,72.6
15,Classic,0.4,17.0%,76.0%,7.0%,65
16,Shorty,0.5,14.7%,74.6%,10.7%,63.5
17,Frenzy,0.6,15.9%,74.6%,9.5%,62
