,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.0%,84.0%,5.0%,136.1
1,Outlaw,0.9,11.0%,85.2%,3.7%,125.2
2,Vandal,0.8,31.0%,64.0%,5.0%,125
3,Guardian,0.7,35.0%,60.8%,4.2%,117.3
4,Phantom,0.8,26.4%,67.4%,6.3%,114.5
5,Sheriff,0.5,34.9%,61.8%,3.3%,101.5
6,Odin,0.8,13.7%,69.9%,16.4%,96.6
7,Marshal,0.6,27.8%,68.8%,3.4%,95.8
8,Bulldog,0.7,27.8%,66.8%,5.4%,89.1
9,Judge,0.7,12.1%,75.5%,12.4%,85.8
10,Shorty,0.8,15.2%,75.9%,8.9%,85.1
11,Bucky,0.5,14.4%,77.5%,8.1%,78.1
12,Stinger,0.5,18.7%,73.8%,7.5%,76.8
13,Ares,0.6,16.3%,69.9%,13.8%,76.6
14,Ghost,0.8,33.4%,63.0%,3.6%,76.1
15,Spectre,0.7,20.6%,72.0%,7.4%,75.9
16,Classic,0.5,28.7%,66.9%,4.4%,71
17,Frenzy,0.6,21.3%,71.9%,6.8%,60.3
