,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.0%,81.9%,6.0%,131.7
1,Operator,0.8,9.4%,85.6%,5.1%,122.2
2,Vandal,0.7,13.9%,74.9%,11.2%,116
3,Guardian,0.6,13.3%,76.9%,9.8%,114.8
4,Phantom,0.7,11.9%,74.6%,13.5%,108.3
5,Odin,0.9,7.8%,67.7%,24.5%,102.5
6,Marshal,0.4,19.6%,74.8%,5.5%,95.7
7,Bulldog,0.6,11.2%,76.2%,12.6%,93
8,Ares,0.6,9.5%,70.4%,20.1%,90.4
9,Sheriff,0.5,18.7%,74.0%,7.3%,86
10,Spectre,0.6,10.3%,75.0%,14.7%,84.5
11,Judge,0.6,10.7%,72.6%,16.7%,78.5
12,Ghost,0.6,14.3%,75.8%,9.9%,75.6
13,Stinger,0.5,13.6%,73.6%,12.8%,71.4
14,Bucky,0.4,12.3%,74.9%,12.8%,68.4
15,Frenzy,0.5,12.9%,74.2%,12.9%,60.1
16,Classic,0.4,12.2%,77.0%,10.8%,59.9
17,Shorty,0.4,12.7%,72.8%,14.5%,53.7
