,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.9%,84.4%,4.7%,135.1
1,Outlaw,0.8,12.9%,83.3%,3.9%,125.8
2,Vandal,0.8,28.4%,66.4%,5.2%,125.1
3,Guardian,0.7,32.3%,63.6%,4.1%,115.5
4,Phantom,0.8,24.3%,69.4%,6.3%,115.2
5,Sheriff,0.5,33.0%,63.6%,3.4%,100.4
6,Odin,0.8,13.0%,70.3%,16.7%,98.1
7,Marshal,0.6,27.4%,69.3%,3.2%,97.8
8,Bulldog,0.7,25.2%,69.2%,5.6%,90.2
9,Judge,0.7,12.8%,75.3%,11.9%,85.1
10,Shorty,0.7,15.7%,75.5%,8.8%,80.5
11,Stinger,0.5,18.9%,74.0%,7.2%,78
12,Spectre,0.7,19.0%,73.3%,7.7%,78
13,Ares,0.6,16.1%,69.8%,14.2%,76.7
14,Ghost,0.8,30.8%,65.3%,3.8%,76.4
15,Bucky,0.5,14.8%,77.2%,7.9%,75.7
16,Classic,0.5,26.4%,69.1%,4.5%,69.8
17,Frenzy,0.6,21.3%,71.9%,6.9%,60.4
