,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.0%,84.2%,4.8%,135.7
1,Outlaw,0.8,12.3%,83.9%,3.8%,126.5
2,Vandal,0.8,29.2%,65.6%,5.1%,125.1
3,Guardian,0.7,33.0%,62.9%,4.1%,115.4
4,Phantom,0.8,25.0%,68.7%,6.3%,114.9
5,Sheriff,0.5,33.5%,63.1%,3.4%,100.8
6,Odin,0.8,13.2%,70.3%,16.5%,97.1
7,Marshal,0.6,27.3%,69.5%,3.3%,97
8,Bulldog,0.7,26.2%,68.2%,5.5%,90
9,Judge,0.6,12.7%,75.5%,11.8%,84.8
10,Shorty,0.7,15.9%,75.3%,8.9%,81.3
11,Bucky,0.5,14.9%,77.3%,7.7%,77.4
12,Stinger,0.5,18.8%,74.0%,7.2%,77.2
13,Spectre,0.7,19.7%,72.7%,7.5%,77.1
14,Ares,0.6,16.3%,69.9%,13.8%,76.7
15,Ghost,0.8,31.6%,64.6%,3.8%,76.2
16,Classic,0.5,27.1%,68.5%,4.4%,70.1
17,Frenzy,0.6,22.2%,71.1%,6.7%,60.3
