,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.6%,85.0%,4.4%,134
1,Outlaw,0.7,13.9%,82.2%,3.9%,126.8
2,Vandal,0.8,26.2%,68.6%,5.3%,124.7
3,Phantom,0.8,22.4%,71.2%,6.4%,115.2
4,Guardian,0.7,30.0%,65.8%,4.2%,114.5
5,Odin,0.8,12.3%,70.7%,17.0%,99.3
6,Sheriff,0.5,31.1%,65.5%,3.5%,98.4
7,Marshal,0.6,27.1%,69.7%,3.3%,98.2
8,Bulldog,0.7,22.6%,71.4%,6.0%,90.7
9,Judge,0.6,12.8%,75.4%,11.8%,84
10,Spectre,0.7,17.8%,74.2%,8.1%,79.4
11,Ares,0.6,15.2%,70.3%,14.5%,77.9
12,Stinger,0.5,18.2%,74.5%,7.3%,77.8
13,Ghost,0.8,28.4%,67.5%,4.1%,76.5
14,Shorty,0.6,15.7%,75.5%,8.8%,75.8
15,Bucky,0.5,15.1%,77.1%,7.8%,74.5
16,Classic,0.4,24.4%,70.8%,4.8%,68.8
17,Frenzy,0.6,20.6%,72.4%,7.0%,61.4
