,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.7,13.7%,82.3%,4.1%,131.5
1,Operator,0.9,10.0%,86.1%,3.9%,131
2,Vandal,0.8,20.8%,72.9%,6.3%,123.1
3,Guardian,0.7,23.5%,71.9%,4.7%,115.6
4,Phantom,0.8,17.6%,74.7%,7.7%,114.3
5,Odin,0.9,10.1%,71.6%,18.3%,103.1
6,Marshal,0.5,24.5%,71.9%,3.6%,99.4
7,Sheriff,0.5,26.1%,69.9%,4.0%,92.8
8,Bulldog,0.7,16.8%,75.5%,7.6%,92.5
9,Ares,0.6,12.1%,72.3%,15.7%,84.6
10,Spectre,0.7,13.8%,76.1%,10.0%,83.2
11,Judge,0.6,12.6%,74.8%,12.6%,83.1
12,Stinger,0.5,16.2%,75.1%,8.7%,78.3
13,Ghost,0.8,22.2%,72.4%,5.4%,77.3
14,Bucky,0.5,14.9%,76.5%,8.6%,72.8
15,Classic,0.4,18.7%,75.0%,6.3%,65.8
16,Shorty,0.5,15.2%,74.8%,10.1%,65.5
17,Frenzy,0.5,17.1%,74.2%,8.7%,61.4
