,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.7%,82.4%,4.9%,134.7
1,Operator,0.9,9.5%,86.2%,4.3%,127.4
2,Vandal,0.8,16.1%,75.2%,8.7%,119.7
3,Guardian,0.7,16.8%,76.3%,7.0%,116.4
4,Phantom,0.8,13.6%,75.7%,10.7%,111.3
5,Odin,0.9,8.4%,69.7%,21.9%,104.1
6,Marshal,0.4,21.8%,73.8%,4.4%,99.5
7,Bulldog,0.6,12.9%,77.0%,10.2%,94
8,Ares,0.6,10.1%,71.7%,18.2%,90.2
9,Sheriff,0.5,21.4%,73.1%,5.5%,88.8
10,Spectre,0.6,11.1%,76.2%,12.7%,85.3
11,Judge,0.6,11.6%,73.8%,14.6%,81.1
12,Ghost,0.7,16.9%,75.3%,7.8%,77.2
13,Stinger,0.5,14.4%,74.8%,10.8%,75.6
14,Bucky,0.5,13.6%,75.8%,10.6%,71.1
15,Classic,0.4,14.2%,77.1%,8.7%,62.5
16,Frenzy,0.5,13.9%,74.9%,11.2%,61.2
17,Shorty,0.5,13.8%,73.7%,12.5%,57.8
