,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.0%,84.2%,4.8%,135.5
1,Outlaw,0.9,11.8%,84.4%,3.8%,127
2,Vandal,0.8,29.9%,64.9%,5.1%,125.1
3,Guardian,0.7,33.8%,62.1%,4.2%,115.7
4,Phantom,0.8,25.6%,68.0%,6.4%,114.6
5,Sheriff,0.5,34.3%,62.3%,3.4%,101.2
6,Odin,0.8,13.7%,69.5%,16.8%,96.6
7,Marshal,0.6,28.8%,68.0%,3.2%,96
8,Bulldog,0.7,26.6%,67.8%,5.6%,90
9,Judge,0.6,12.5%,75.6%,11.9%,84.9
10,Shorty,0.8,15.7%,75.5%,8.8%,84.3
11,Bucky,0.5,14.6%,77.4%,8.0%,77.2
12,Stinger,0.5,19.2%,73.5%,7.4%,77.2
13,Spectre,0.7,19.9%,72.7%,7.4%,77
14,Ghost,0.8,32.4%,64.0%,3.7%,76.1
15,Ares,0.6,16.3%,69.3%,14.4%,75.6
16,Classic,0.5,27.8%,67.9%,4.3%,70.2
17,Frenzy,0.6,22.2%,71.0%,6.8%,60.3
