,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.0%,80.2%,7.9%,124.2
1,Operator,0.7,9.2%,84.4%,6.4%,113.3
2,Guardian,0.6,11.3%,74.8%,13.9%,111.1
3,Vandal,0.7,12.6%,72.7%,14.7%,111
4,Phantom,0.7,10.9%,72.0%,17.1%,104.4
5,Odin,0.8,7.7%,65.3%,27.0%,98.7
6,Bulldog,0.5,10.0%,73.9%,16.1%,90.1
7,Marshal,0.3,18.1%,74.3%,7.6%,88.5
8,Ares,0.6,9.2%,68.3%,22.5%,87.3
9,Sheriff,0.5,18.5%,71.4%,10.1%,84.9
10,Spectre,0.5,10.0%,72.8%,17.2%,81.9
11,Judge,0.5,9.4%,70.3%,20.3%,76.3
12,Ghost,0.6,12.2%,75.0%,12.8%,71.9
13,Bucky,0.4,10.9%,72.5%,16.7%,66.1
14,Stinger,0.4,12.4%,70.9%,16.6%,64.1
15,Frenzy,0.5,12.2%,72.6%,15.2%,57.2
16,Classic,0.4,10.9%,75.4%,13.8%,55.9
17,Shorty,0.4,11.5%,71.2%,17.3%,50.5
