,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.2%,85.9%,3.9%,132.3
1,Outlaw,0.7,14.0%,82.1%,4.0%,130.2
2,Vandal,0.8,22.3%,71.9%,5.8%,124
3,Guardian,0.7,25.5%,70.2%,4.4%,115.9
4,Phantom,0.8,19.0%,73.9%,7.1%,115.2
5,Odin,0.9,10.7%,71.6%,17.7%,102.5
6,Marshal,0.5,25.3%,71.3%,3.5%,99.5
7,Sheriff,0.5,27.5%,68.7%,3.8%,94.4
8,Bulldog,0.7,18.3%,74.6%,7.1%,92.3
9,Judge,0.6,12.8%,75.0%,12.2%,83.7
10,Ares,0.6,13.0%,71.9%,15.1%,82.7
11,Spectre,0.7,14.9%,75.8%,9.3%,82.6
12,Stinger,0.5,16.9%,74.9%,8.2%,79
13,Ghost,0.8,24.0%,71.1%,4.9%,77.4
14,Bucky,0.5,15.1%,76.6%,8.3%,73.5
15,Shorty,0.5,15.5%,75.1%,9.5%,68.4
16,Classic,0.4,20.2%,74.0%,5.8%,66.8
17,Frenzy,0.5,18.1%,73.8%,8.1%,61.6
