,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.6%,85.1%,4.3%,133.9
1,Outlaw,0.7,14.1%,82.0%,3.9%,127.2
2,Vandal,0.8,25.5%,69.2%,5.4%,124.3
3,Phantom,0.8,21.9%,71.6%,6.5%,115.3
4,Guardian,0.7,29.3%,66.6%,4.1%,114.3
5,Odin,0.8,12.1%,70.8%,17.1%,99.8
6,Marshal,0.5,26.7%,70.0%,3.3%,97.9
7,Sheriff,0.5,30.5%,66.0%,3.5%,97.7
8,Bulldog,0.7,21.9%,72.0%,6.1%,90.7
9,Judge,0.6,12.9%,75.4%,11.8%,83.9
10,Spectre,0.7,17.2%,74.5%,8.3%,79.7
11,Ares,0.6,15.0%,70.5%,14.5%,78.7
12,Stinger,0.5,18.0%,74.5%,7.4%,77.9
13,Ghost,0.8,27.7%,68.1%,4.2%,76.4
14,Shorty,0.6,15.7%,75.4%,8.9%,74.5
15,Bucky,0.5,15.2%,77.0%,7.8%,74.4
16,Classic,0.4,23.7%,71.4%,4.9%,68.3
17,Frenzy,0.6,20.3%,72.5%,7.2%,61.3
