,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.4%,85.6%,4.0%,132.8
1,Outlaw,0.7,14.2%,81.9%,3.9%,128.8
2,Vandal,0.8,23.6%,70.8%,5.6%,124.1
3,Phantom,0.8,20.2%,73.1%,6.8%,115.2
4,Guardian,0.7,27.1%,68.7%,4.3%,114.9
5,Odin,0.8,11.3%,71.4%,17.3%,101.3
6,Marshal,0.5,26.0%,70.7%,3.4%,98.6
7,Sheriff,0.5,28.7%,67.7%,3.6%,95.5
8,Bulldog,0.7,19.6%,73.7%,6.7%,91.4
9,Judge,0.6,12.9%,75.1%,12.1%,83.5
10,Spectre,0.7,15.9%,75.3%,8.9%,81.3
11,Ares,0.6,13.8%,71.4%,14.8%,80.6
12,Stinger,0.5,17.2%,74.9%,7.8%,78.5
13,Ghost,0.8,25.4%,70.0%,4.5%,76.9
14,Bucky,0.5,15.4%,76.7%,7.9%,73.6
15,Shorty,0.5,15.7%,75.2%,9.1%,70.6
16,Classic,0.4,21.6%,73.0%,5.4%,67.4
17,Frenzy,0.5,19.0%,73.3%,7.7%,61.5
