,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.8%,84.7%,4.5%,134.6
1,Outlaw,0.7,13.5%,82.6%,3.9%,126.1
2,Vandal,0.8,26.9%,67.9%,5.2%,124.7
3,Phantom,0.8,23.1%,70.5%,6.4%,115.5
4,Guardian,0.7,30.8%,65.0%,4.1%,114.5
5,Sheriff,0.5,31.8%,64.8%,3.4%,99.2
6,Odin,0.8,12.5%,70.5%,17.0%,98.7
7,Marshal,0.6,27.3%,69.4%,3.2%,97.8
8,Bulldog,0.7,23.6%,70.5%,5.9%,90.3
9,Judge,0.6,12.8%,75.5%,11.7%,84.3
10,Spectre,0.7,18.2%,73.9%,7.9%,78.9
11,Shorty,0.6,15.8%,75.3%,8.9%,77.8
12,Ares,0.6,15.5%,70.0%,14.5%,77.7
13,Stinger,0.5,18.5%,74.2%,7.3%,77.7
14,Ghost,0.8,29.3%,66.8%,4.0%,76.4
15,Bucky,0.5,15.0%,77.0%,7.9%,74.9
16,Classic,0.4,25.1%,70.2%,4.7%,69
17,Frenzy,0.6,20.9%,72.1%,6.9%,61.2
