,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.98,14.6,15,10.9,53.0%,2.8%,207,"28,375"
1,Phoenix,1.1,17.3,15.8,5,51.6%,3.8%,239,"38,694"
2,Sage,0.96,14.4,15,7,51.3%,2.2%,198,"22,859"
3,Cypher,1.02,14.9,14.6,5,50.7%,6.2%,199,"64,086"
4,Deadlock,1.03,15.3,14.9,4.3,50.4%,0.9%,204,"8,763"
5,Sova,1.02,14.8,14.6,6.1,49.9%,14.1%,206,"145,037"
6,Astra,1.04,15.5,14.9,8.1,49.9%,1.5%,208,"15,632"
7,Fade,0.98,14.6,14.9,6.9,49.7%,0.9%,200,"9,069"
8,Reyna,1.1,17.4,15.9,4.4,49.6%,11.1%,236,"114,131"
9,Viper,1.02,15,14.7,5.9,49.5%,0.2%,209,"2,028"
10,Killjoy,1.02,14.9,14.6,3.4,49.2%,9.3%,202,"95,102"
11,Jett,1.07,17.4,16.2,3.3,49.0%,17.6%,235,"180,838"
12,Omen,0.98,14.8,15.1,8.7,49.0%,14.6%,201,"150,182"
13,Raze,1.01,16.3,16.2,4.5,48.8%,3.3%,230,"33,378"
14,Breach,0.94,14.6,15.5,7.5,48.8%,0.8%,199,"8,357"
15,Gekko,0.93,14.1,15.2,5.3,48.5%,0.7%,191,"6,702"
16,Yoru,1.02,16.3,15.9,4.5,48.2%,1.0%,221,"9,902"
17,Skye,0.95,14.6,15.5,7.3,48.0%,1.7%,200,"16,975"
18,Chamber,1.08,16.5,15.3,2.8,47.8%,2.5%,220,"26,130"
19,Harbor,0.97,14.7,15.2,6.6,45.9%,0.1%,201,873
20,Neon,0.95,15.8,16.6,4.4,45.9%,0.4%,218,"4,228"
21,Iso,1.02,16.6,16.4,4.2,45.2%,0.7%,229,"7,081"
22,KAY/O,0.93,14.5,15.7,9.8,44.0%,3.7%,204,"37,928"
