,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.96,14.3,14.9,9.5,51.5%,4.4%,204,"107,800"
1,Phoenix,1.11,17.3,15.5,4.8,51.4%,3.9%,242,"95,290"
2,Sova,1.02,14.7,14.5,5.8,50.6%,9.4%,206,"233,548"
3,Sage,0.92,13.7,14.9,7,50.3%,5.3%,190,"131,968"
4,Deadlock,1,14.9,14.8,4.2,50.3%,1.0%,201,"25,947"
5,Cypher,1,14.5,14.4,5,50.2%,5.7%,196,"141,527"
6,Reyna,1.11,17.5,15.7,4.4,49.9%,11.5%,241,"283,950"
7,Astra,1.02,15.1,14.8,7.1,49.4%,1.4%,207,"35,777"
8,Jett,1.08,17.3,16,3.5,49.2%,12.9%,237,"319,742"
9,Killjoy,0.99,14.3,14.4,3.5,49.0%,8.5%,198,"211,326"
10,Raze,1.01,16.2,16,4.6,48.9%,4.7%,232,"116,322"
11,Omen,0.98,14.7,15.1,7.6,48.9%,12.8%,202,"315,534"
12,Fade,0.94,14.2,15.1,6.4,48.8%,1.4%,197,"34,299"
13,Chamber,1.08,16.3,15.1,3.1,48.2%,3.2%,221,"78,205"
14,Breach,0.93,14.4,15.4,6.7,48.1%,1.6%,200,"39,729"
15,Skye,0.93,14.2,15.2,7.4,48.0%,3.0%,197,"75,200"
16,Gekko,0.91,13.7,15.2,5,47.8%,1.6%,189,"38,817"
17,Viper,0.98,14.4,14.8,5.5,47.5%,0.7%,201,"17,340"
18,Yoru,1.01,15.8,15.7,4.3,46.9%,1.2%,218,"30,027"
19,Neon,0.95,15.6,16.4,4.2,46.8%,0.9%,219,"22,389"
20,KAY/O,0.91,14.1,15.5,9,45.7%,3.3%,200,"82,573"
21,Iso,1,16.2,16.2,4.2,45.3%,1.2%,227,"30,855"
22,Harbor,0.92,14.1,15.4,6.1,45.1%,0.2%,195,"4,878"
