,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.78,10.5,13.4,3.9,52.3%,3.9%,162,"9,500"
1,Sova,0.79,11.1,14,4.7,50.6%,5.0%,168,"12,198"
2,Sage,0.7,9.8,14.1,5.8,50.5%,12.5%,146,"30,392"
3,Cypher,0.81,11.1,13.7,4.8,50.4%,4.6%,161,"11,263"
4,Skye,0.71,10.2,14.3,6.5,49.7%,4.1%,154,"9,886"
5,Deadlock,0.77,10.8,14.1,3.9,49.6%,2.0%,160,"4,789"
6,Viper,0.74,10.5,14.2,4.4,49.6%,2.7%,157,"6,659"
7,Raze,0.84,12.2,14.5,4.6,49.6%,6.3%,190,"15,360"
8,Fade,0.7,10.2,14.5,5.7,49.5%,3.1%,154,"7,591"
9,Reyna,0.91,13.3,14.6,4.2,49.5%,10.4%,198,"25,363"
10,Chamber,0.84,11.9,14.2,3.5,49.4%,1.8%,174,"4,449"
11,Omen,0.79,11.4,14.4,4.5,49.2%,7.4%,168,"17,873"
12,Gekko,0.7,10.3,14.7,4.4,48.9%,5.5%,152,"13,360"
13,Jett,0.87,12.7,14.5,3.5,48.7%,5.6%,188,"13,642"
14,Brimstone,0.79,11.2,14.2,6.1,48.4%,3.3%,170,"7,896"
15,KAY/O,0.69,10.1,14.6,6.9,47.9%,2.5%,156,"6,048"
16,Phoenix,0.83,12,14.4,4.1,47.8%,4.9%,180,"11,819"
17,Breach,0.82,11.6,14.3,4.9,47.8%,1.2%,174,"2,974"
18,Yoru,0.79,11.5,14.7,3.9,47.5%,5.2%,170,"12,652"
19,Astra,0.82,11,13.4,4.4,46.8%,0.5%,167,"1,253"
20,Iso,0.76,11.5,15.1,3.9,46.8%,2.5%,174,"6,181"
21,Neon,0.76,11.4,15,3.8,46.0%,4.1%,170,"9,925"
22,Harbor,0.69,10.3,14.9,4.8,44.4%,0.7%,153,"1,818"
