,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.94,13.7,14.6,7.9,51.2%,4.6%,201,"132,211"
1,Killjoy,0.97,13.5,13.9,4,50.9%,7.0%,196,"202,427"
2,Phoenix,1.04,15.6,15,4.7,50.3%,3.8%,227,"109,194"
3,Sova,0.94,13.5,14.3,5.4,50.2%,5.7%,196,"165,264"
4,Reyna,1.09,16.6,15.2,4.6,50.0%,11.5%,238,"332,998"
5,Cypher,0.96,13.5,14.1,5.1,50.0%,6.1%,190,"177,139"
6,Sage,0.87,12.6,14.5,6.8,49.6%,9.7%,181,"282,349"
7,Astra,0.98,14.1,14.4,5.9,49.5%,0.8%,200,"24,007"
8,Jett,1.04,16,15.3,3.8,49.5%,6.7%,228,"193,679"
9,Raze,0.98,15.1,15.4,4.9,49.3%,5.5%,224,"160,684"
10,Omen,0.95,14,14.8,6,49.0%,10.2%,199,"296,479"
11,Deadlock,0.94,13.7,14.7,4.2,49.0%,1.6%,193,"45,508"
12,Fade,0.88,13,14.8,6.2,48.9%,2.2%,187,"64,912"
13,Skye,0.88,13,14.8,7.3,48.6%,4.5%,188,"129,302"
14,Chamber,1.03,15.1,14.6,3.5,48.5%,2.5%,212,"72,890"
15,Breach,0.91,13.8,15.1,5.9,48.5%,1.8%,198,"53,238"
16,Gekko,0.86,12.8,14.9,4.9,48.5%,3.6%,183,"104,283"
17,Viper,0.93,13.5,14.5,5.2,48.4%,2.0%,196,"57,274"
18,Neon,0.94,14.9,15.8,4.2,47.3%,2.4%,215,"70,730"
19,Harbor,0.87,13.1,15,5.7,47.0%,0.6%,187,"18,037"
20,KAY/O,0.84,12.8,15.1,8,46.3%,2.7%,188,"77,185"
21,Yoru,0.94,14.4,15.3,4.2,46.2%,2.4%,206,"69,341"
22,Iso,0.95,14.9,15.7,4.3,46.1%,2.0%,216,"57,181"
