,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.98,14.4,14.8,8.8,51.6%,4.7%,208,"171,431"
1,Phoenix,1.13,17.3,15.2,4.7,51.4%,3.8%,245,"138,121"
2,Reyna,1.16,17.9,15.4,4.5,50.6%,12.5%,251,"460,223"
3,Sova,1.02,14.7,14.4,5.6,50.5%,7.3%,208,"268,811"
4,Astra,1.05,15.3,14.5,6.6,50.4%,1.2%,212,"42,657"
5,Killjoy,1.01,14.3,14.2,3.7,50.0%,8.0%,201,"293,947"
6,Cypher,1.01,14.4,14.2,5,50.0%,5.8%,199,"213,326"
7,Sage,0.92,13.5,14.7,6.9,49.9%,7.1%,190,"259,001"
8,Jett,1.12,17.4,15.6,3.6,49.8%,10.3%,244,"378,690"
9,Deadlock,1,14.7,14.7,4.2,49.8%,1.2%,203,"44,358"
10,Raze,1.04,16.4,15.7,4.7,49.4%,5.3%,237,"193,666"
11,Omen,0.99,14.8,14.9,6.9,49.3%,11.5%,207,"422,216"
12,Chamber,1.1,16.4,14.8,3.3,48.9%,2.9%,225,"104,929"
13,Fade,0.94,14.1,15,6.3,48.9%,1.6%,198,"58,652"
14,Skye,0.93,14,15,7.3,48.7%,3.6%,198,"131,009"
15,Breach,0.95,14.5,15.2,6.3,48.5%,1.8%,205,"65,822"
16,Viper,0.98,14.4,14.7,5.4,48.0%,1.3%,204,"47,371"
17,Gekko,0.91,13.7,15.1,5,47.9%,2.3%,191,"82,631"
18,Yoru,1.02,15.8,15.4,4.3,46.7%,1.6%,221,"57,915"
19,Neon,0.99,15.9,16.1,4.2,46.6%,1.5%,225,"54,209"
20,Iso,1.02,16.2,15.9,4.2,46.2%,1.7%,231,"61,364"
21,KAY/O,0.9,13.8,15.3,8.4,46.2%,2.9%,199,"106,582"
22,Harbor,0.93,14.1,15.2,5.9,46.1%,0.3%,198,"12,836"
