,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,1.05,15.6,14.8,6.9,55.4%,0.7%,212,861
1,Gekko,1.01,15,14.9,5.3,54.7%,0.3%,199,333
2,Brimstone,0.98,14.7,15,11.4,53.4%,1.1%,209,"1,287"
3,Fade,1.02,15.4,15,7.6,52.8%,0.5%,205,604
4,Phoenix,1.09,17.2,15.8,5,52.2%,3.3%,236,"3,907"
5,Neon,1.03,16.4,15.9,4.5,52.1%,0.2%,227,288
6,Reyna,1.09,17.4,15.9,4.3,50.9%,11.9%,234,"14,135"
7,Cypher,1.03,15,14.6,5,50.8%,5.3%,199,"6,311"
8,Jett,1.07,17.4,16.2,3.2,50.6%,20.3%,234,"24,165"
9,Omen,0.99,14.9,15.1,9.3,49.8%,16.4%,201,"19,428"
10,Sova,1.02,14.8,14.5,6.2,49.8%,17.1%,205,"20,313"
11,Deadlock,1.02,15.2,14.9,4.3,49.6%,0.7%,202,841
12,Killjoy,1.05,15.5,14.7,3.2,49.6%,11.4%,206,"13,519"
13,Astra,1.02,15.4,15.1,8.7,49.0%,1.0%,207,"1,206"
14,Raze,1.01,16.4,16.2,4.4,48.8%,2.1%,231,"2,502"
15,Yoru,1.01,16.1,16,4.6,48.4%,0.9%,217,"1,105"
16,Skye,0.99,15.3,15.4,7.1,47.8%,0.5%,206,628
17,Chamber,1.11,17,15.3,2.6,47.0%,1.5%,224,"1,755"
18,Iso,1.04,17,16.4,4.1,46.4%,0.4%,232,522
19,KAY/O,0.93,14.7,15.8,10.5,44.3%,3.9%,205,"4,675"
20,Breach,0.91,14.3,15.7,7.8,44.0%,0.3%,195,364
21,Viper,0.99,15.4,15.5,6.4,31.6%,0.0%,211,19
