,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.99,14.7,14.9,11.4,53.7%,2.0%,208,"8,550"
1,Sage,1,14.9,14.9,6.9,53.6%,1.5%,203,"6,274"
2,Viper,1.05,15.8,15,5.9,52.0%,0.1%,214,563
3,Phoenix,1.09,17.2,15.8,5,51.9%,3.7%,237,"15,778"
4,Deadlock,1.05,15.7,15,4.3,51.8%,0.8%,207,"3,587"
5,Reyna,1.1,17.5,15.9,4.4,50.7%,11.8%,236,"50,626"
6,Cypher,1.03,15,14.6,5,50.5%,6.2%,199,"26,478"
7,Sova,1.03,14.9,14.6,6.2,50.0%,15.5%,206,"66,457"
8,Fade,1,15,15,7.3,50.0%,0.7%,203,"3,125"
9,Gekko,0.94,14.4,15.3,5.3,49.8%,0.4%,194,"1,894"
10,Astra,1.04,15.4,14.8,8.3,49.8%,1.4%,209,"5,852"
11,Killjoy,1.04,15.2,14.6,3.3,49.7%,9.7%,205,"41,418"
12,Jett,1.07,17.4,16.2,3.3,49.6%,19.2%,235,"82,248"
13,Raze,1.02,16.5,16.1,4.5,49.6%,2.7%,231,"11,394"
14,Omen,0.99,14.8,15,9,49.5%,15.2%,201,"65,156"
15,Skye,0.96,14.9,15.5,7.3,48.7%,1.1%,202,"4,545"
16,Yoru,1.02,16.2,15.9,4.6,48.3%,1.0%,221,"4,221"
17,Chamber,1.1,16.7,15.2,2.8,47.6%,2.1%,221,"9,160"
18,Neon,0.96,16,16.6,4.3,47.5%,0.4%,220,"1,564"
19,Breach,0.95,14.7,15.4,7.8,47.1%,0.5%,200,"2,245"
20,Iso,1.03,16.7,16.2,4.2,45.3%,0.5%,229,"2,325"
21,KAY/O,0.93,14.5,15.6,10.1,44.3%,3.6%,203,"15,454"
22,Harbor,0.94,14.5,15.3,6.8,41.7%,0.1%,196,266
