,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.97,14.2,14.7,8.6,51.3%,4.8%,206,"167,662"
1,Phoenix,1.11,16.9,15.2,4.7,51.0%,3.7%,241,"131,060"
2,Sova,1,14.4,14.4,5.6,50.2%,6.8%,206,"240,604"
3,Cypher,1,14.2,14.2,5.1,50.1%,6.0%,197,"210,068"
4,Reyna,1.15,17.7,15.4,4.5,50.1%,12.3%,249,"433,671"
5,Astra,1.04,15.1,14.5,6.4,50.0%,1.1%,210,"38,560"
6,Killjoy,1,14.1,14.1,3.8,49.8%,7.9%,200,"279,823"
7,Sage,0.91,13.3,14.7,6.9,49.8%,7.7%,188,"269,838"
8,Jett,1.1,17.2,15.6,3.7,49.7%,9.4%,241,"329,790"
9,Deadlock,0.98,14.5,14.7,4.2,49.6%,1.3%,201,"44,969"
10,Raze,1.03,16.1,15.6,4.8,49.2%,5.4%,235,"189,362"
11,Omen,0.99,14.7,14.9,6.7,49.0%,11.3%,205,"397,583"
12,Fade,0.92,13.7,14.9,6.2,48.8%,1.7%,195,"60,307"
13,Breach,0.95,14.4,15.2,6.2,48.7%,1.8%,204,"64,928"
14,Skye,0.92,13.8,15,7.4,48.6%,3.8%,196,"133,125"
15,Viper,0.98,14.3,14.7,5.4,48.4%,1.5%,203,"51,404"
16,Chamber,1.09,16.1,14.8,3.3,48.3%,2.8%,222,"98,423"
17,Gekko,0.9,13.6,15,5,48.2%,2.5%,190,"87,926"
18,Neon,0.98,15.8,16,4.3,47.9%,1.7%,225,"59,021"
19,Yoru,1.01,15.6,15.4,4.2,46.6%,1.7%,219,"60,331"
20,KAY/O,0.89,13.6,15.3,8.3,46.5%,2.9%,197,"100,832"
21,Iso,1,16,15.9,4.3,46.3%,1.7%,228,"61,508"
22,Harbor,0.91,13.8,15.2,5.9,45.0%,0.4%,194,"14,409"
