,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.94,13.1,13.9,4.1,50.9%,6.3%,191,"130,344"
1,Brimstone,0.91,13.3,14.6,7.6,50.6%,4.3%,196,"90,209"
2,Cypher,0.93,13.1,14.1,5.1,50.0%,6.1%,185,"127,428"
3,Astra,0.95,13.6,14.3,5.7,49.9%,0.7%,194,"15,089"
4,Sova,0.91,13,14.4,5.3,49.8%,5.5%,190,"113,808"
5,Reyna,1.05,15.9,15.1,4.6,49.6%,11.1%,229,"230,104"
6,Sage,0.83,12,14.4,6.7,49.5%,10.6%,174,"220,389"
7,Phoenix,0.99,14.8,15,4.6,49.2%,3.9%,217,"80,491"
8,Deadlock,0.9,13.2,14.7,4.3,49.2%,1.7%,188,"36,029"
9,Raze,0.95,14.5,15.3,4.9,49.2%,5.6%,217,"116,962"
10,Jett,1,15.3,15.3,3.8,49.0%,5.9%,220,"122,682"
11,Omen,0.92,13.5,14.8,5.8,48.9%,9.8%,193,"202,821"
12,Breach,0.89,13.4,15.1,5.7,48.7%,1.7%,193,"36,018"
13,Fade,0.83,12.4,14.8,6.2,48.4%,2.5%,180,"51,623"
14,Skye,0.84,12.4,14.8,7.3,48.4%,4.6%,181,"96,230"
15,Gekko,0.82,12.3,14.9,4.8,48.0%,4.2%,177,"86,388"
16,Chamber,0.99,14.5,14.6,3.6,48.0%,2.4%,205,"49,603"
17,Viper,0.9,13,14.5,5.1,47.9%,2.2%,190,"44,785"
18,Neon,0.91,14.3,15.7,4.2,47.2%,2.7%,207,"56,782"
19,KAY/O,0.81,12.3,15.1,7.8,46.4%,2.6%,182,"53,634"
20,Iso,0.91,14.2,15.7,4.3,46.1%,2.0%,209,"41,662"
21,Yoru,0.91,13.8,15.2,4.2,45.9%,2.9%,198,"60,353"
22,Harbor,0.83,12.5,15,5.5,45.1%,0.7%,181,"14,689"
